dataset_id,source_file,entry_id,method,resolution_angstrom,em_resolution_angstrom,wilson_b_estimate,b_factor_type,rfree,rfactor,deposited_atoms
rcsb::5S4L,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S4L,X-RAY DIFFRACTION,2.3,,55.458,FULL,0.238,0.2061,18051
rcsb::5M8G,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5M8G,X-RAY DIFFRACTION,2.147,,46.05,FULL,0.2082,0.1729,18016
rcsb::5S4O,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S4O,X-RAY DIFFRACTION,2.3,,39.034,FULL,0.2615,0.2167,18110
rcsb::5S4P,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S4P,X-RAY DIFFRACTION,2.29,,46.116,FULL,0.2468,0.2087,18036
rcsb::5S4M,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S4M,X-RAY DIFFRACTION,2.15,,55.014,FULL,0.2465,0.2116,18114
rcsb::5S4N,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S4N,X-RAY DIFFRACTION,2.53,,70.524,FULL,0.2612,0.2214,17886
rcsb::5S4Q,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S4Q,X-RAY DIFFRACTION,2.59,,52.831,FULL,0.2821,0.2285,18002
rcsb::5S4X,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S4X,X-RAY DIFFRACTION,2.53,,76.427,FULL,0.2483,0.2077,17715
rcsb::5S4U,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S4U,X-RAY DIFFRACTION,2.39,,62.019,FULL,0.2546,0.2144,17972
rcsb::5S4R,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S4R,X-RAY DIFFRACTION,2.35,,63.445,,0.2505,,18021
rcsb::5S4T,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S4T,X-RAY DIFFRACTION,2.27,,59.714,FULL,0.2467,0.2089,18014
rcsb::5S4S,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S4S,X-RAY DIFFRACTION,2.35,,59.552,FULL,0.2843,0.2459,17823
rcsb::5S4V,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S4V,X-RAY DIFFRACTION,2.3,,58.474,,0.2352,,18030
rcsb::5S4W,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S4W,X-RAY DIFFRACTION,2.8,,89.189,FULL,0.2663,0.2249,17762
rcsb::5S4Y,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S4Y,X-RAY DIFFRACTION,2.3,,69.571,FULL,0.2434,0.2082,17833
rcsb::5S4Z,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S4Z,X-RAY DIFFRACTION,2.1,,46.607,FULL,0.247,0.2106,18279
rcsb::5S50,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S50,X-RAY DIFFRACTION,3.1,,117.75,FULL,0.2709,0.2123,17660
rcsb::5S51,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S51,X-RAY DIFFRACTION,2.4,,70.368,FULL,0.249,0.21,17918
rcsb::5S54,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S54,X-RAY DIFFRACTION,2.4,,68.459,FULL,0.2565,0.2119,17611
rcsb::5S53,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S53,X-RAY DIFFRACTION,2.75,,76.567,FULL,0.2724,0.2217,17788
rcsb::5S52,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S52,X-RAY DIFFRACTION,2.83,,78.395,,0.2769,,17783
rcsb::5S55,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S55,X-RAY DIFFRACTION,2.3,,53.624,,0.2363,0.2076,18038
rcsb::5S56,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S56,X-RAY DIFFRACTION,2.25,,61.391,FULL,0.2433,0.2096,17990
rcsb::5S5A,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5A,X-RAY DIFFRACTION,2.35,,60.215,FULL,0.243,0.2098,18052
rcsb::5S57,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S57,X-RAY DIFFRACTION,2.45,,72.184,FULL,0.2472,0.2136,17775
rcsb::5S5C,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5C,X-RAY DIFFRACTION,2.4,,61.333,FULL,0.2463,0.2127,18011
rcsb::5S5D,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5D,X-RAY DIFFRACTION,1.9,,43.124,FULL,0.2301,0.2032,18569
rcsb::5S58,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S58,X-RAY DIFFRACTION,2.3,,57.207,FULL,0.2499,0.2134,17979
rcsb::5S5G,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5G,X-RAY DIFFRACTION,2.69,,40.618,FULL,0.2678,0.2172,17986
rcsb::5S5E,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5E,X-RAY DIFFRACTION,2.67,,60.1,FULL,0.2253,0.1876,17985
rcsb::5S5B,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5B,X-RAY DIFFRACTION,2.3,,57.385,FULL,0.2478,0.214,18033
rcsb::5S5H,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5H,X-RAY DIFFRACTION,2.5,,71.981,FULL,0.2725,0.2221,17838
rcsb::5S59,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S59,X-RAY DIFFRACTION,2.6,,76.595,FULL,0.2701,0.2223,17804
rcsb::5S5F,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5F,X-RAY DIFFRACTION,2.24,,24.316,,0.264,,18085
rcsb::5S5I,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5I,X-RAY DIFFRACTION,2.49,,66.95,FULL,0.2617,0.2181,17952
rcsb::5S5J,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5J,X-RAY DIFFRACTION,2.25,,54.625,FULL,0.2419,0.2076,18046
rcsb::5S5K,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5K,X-RAY DIFFRACTION,2.41,,68.296,FULL,0.252,0.2223,17780
rcsb::5S5L,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5L,X-RAY DIFFRACTION,2.25,,51.234,FULL,0.2364,0.2071,18052
rcsb::5S5M,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5M,X-RAY DIFFRACTION,2.7,,83.913,FULL,0.2691,0.2184,17728
rcsb::5S5N,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5N,X-RAY DIFFRACTION,2.9,,81.017,FULL,0.2747,0.2296,17708
rcsb::5S5S,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5S,X-RAY DIFFRACTION,2.36,,40.968,FULL,0.2568,0.2161,18046
rcsb::5S5T,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5T,X-RAY DIFFRACTION,2.53,,50.403,,0.2468,,18016
rcsb::5S5O,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5O,X-RAY DIFFRACTION,2.3,,55.164,FULL,0.2372,0.2051,18008
rcsb::5S5R,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5R,X-RAY DIFFRACTION,2.3,,60.56,FULL,0.2478,0.2111,18056
rcsb::5S5U,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5U,X-RAY DIFFRACTION,2.5,,71.107,FULL,0.2615,0.2162,17892
rcsb::5S5Q,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5Q,X-RAY DIFFRACTION,2.05,,48.387,FULL,0.2471,0.2158,18077
rcsb::5S5P,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5P,X-RAY DIFFRACTION,2.79,,88.738,FULL,0.2691,0.2277,17742
rcsb::5S5X,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5X,X-RAY DIFFRACTION,2.32,,57.29,FULL,0.2504,0.2172,18032
rcsb::5S5W,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5W,X-RAY DIFFRACTION,2.35,,60.947,FULL,0.2683,0.2271,18042
rcsb::5S5V,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5V,X-RAY DIFFRACTION,2.7,,79.536,FULL,0.2664,0.2181,17819
rcsb::5S5Y,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5Y,X-RAY DIFFRACTION,2.26,,55.341,FULL,0.2375,0.2071,18009
rcsb::5S5Z,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S5Z,X-RAY DIFFRACTION,2.55,,68.904,FULL,0.2544,0.2137,17811
rcsb::5S60,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S60,X-RAY DIFFRACTION,2.3,,52.106,FULL,0.2319,0.1981,18342
rcsb::5S61,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S61,X-RAY DIFFRACTION,1.95,,42.709,FULL,0.2428,0.2172,18159
rcsb::5S62,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S62,X-RAY DIFFRACTION,2.75,,82.456,FULL,0.27,0.2144,17742
rcsb::5S63,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S63,X-RAY DIFFRACTION,2.6,,65.499,FULL,0.2727,0.2186,17866
rcsb::5S64,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S64,X-RAY DIFFRACTION,2.75,,82.482,FULL,0.2671,0.219,17772
rcsb::5S65,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S65,X-RAY DIFFRACTION,2.25,,50.793,FULL,0.2402,0.2108,18071
rcsb::5S66,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S66,X-RAY DIFFRACTION,2.1,,52.304,FULL,0.2539,0.2252,17842
rcsb::6FJF,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6FJF,X-RAY DIFFRACTION,2.402,,47.692,FULL,0.2584,0.2023,18138
rcsb::6FKJ,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6FKJ,X-RAY DIFFRACTION,2.148,,42.978,FULL,0.2085,0.1769,18235
rcsb::5S67,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5S67,X-RAY DIFFRACTION,2.1,,52.381,FULL,0.2412,0.2153,18048
rcsb::6FII,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6FII,X-RAY DIFFRACTION,2.405,,53.58,FULL,0.2187,0.1714,18212
rcsb::6GJ4,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6GJ4,X-RAY DIFFRACTION,2.4,,55.425,FULL,0.2426,0.1997,17645
rcsb::6FKL,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6FKL,X-RAY DIFFRACTION,2.098,,40.169,FULL,0.2174,0.1797,18310
rcsb::6GZE,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6GZE,X-RAY DIFFRACTION,2.49,,64.197,FULL,0.2188,0.2165,16797
rcsb::6TDE,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6TDE,X-RAY DIFFRACTION,2.286,,60.165,,0.2512,,15022
rcsb::6TIY,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6TIY,X-RAY DIFFRACTION,2.293,,43.951,FULL,0.2285,0.1964,15210
rcsb::6TH4,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6TH4,X-RAY DIFFRACTION,2.121,,50.126,FULL,0.2379,0.204,14923
rcsb::6HX8,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6HX8,X-RAY DIFFRACTION,2.402,,63.901,FULL,0.2435,0.2002,17739
rcsb::7Z2N,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7Z2N,X-RAY DIFFRACTION,2.17,,47.576,,0.2086,,18229
rcsb::6LSM,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6LSM,X-RAY DIFFRACTION,2.751,,55.268,FULL,0.2305,0.1876,17751
rcsb::7Z2P,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7Z2P,X-RAY DIFFRACTION,2.0,,36.06,,0.2016,,18432
rcsb::6QTN,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6QTN,X-RAY DIFFRACTION,1.9,,42.356,FULL,0.2155,0.1899,18288
rcsb::6QQN,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6QQN,X-RAY DIFFRACTION,2.301,,56.903,FULL,0.2438,0.1965,17550
rcsb::6TIS,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6TIS,X-RAY DIFFRACTION,2.3,,42.01,,0.2185,0.185,15255
rcsb::8CGZ,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8CGZ,X-RAY DIFFRACTION,2.527,,77.17,FULL,0.1995,0.2011,14545
rcsb::8R67,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8R67,X-RAY DIFFRACTION,2.2,,52.965,FULL,0.2281,0.1937,18309
rcsb::6S9E,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6S9E,X-RAY DIFFRACTION,2.25,,48.741,FULL,0.2319,0.2068,17701
rcsb::6SES,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6SES,X-RAY DIFFRACTION,2.0,,42.111,FULL,0.2118,0.2094,18460
rcsb::8A0L,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8A0L,X-RAY DIFFRACTION,1.9981,,44.295,FULL,0.2336,0.1973,18367
rcsb::8C0F,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8C0F,X-RAY DIFFRACTION,2.1005,,47.624,FULL,0.2261,0.196,18221
rcsb::9EDT,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,9EDT,ELECTRON MICROSCOPY,3.7,3.7,,,,,13091
rcsb::8R6O,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8R6O,X-RAY DIFFRACTION,2.2,,49.641,FULL,0.2314,0.2055,17687
rcsb::9EEB,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,9EEB,ELECTRON MICROSCOPY,3.7,3.7,,,,,12531
rcsb::9EDR,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,9EDR,ELECTRON MICROSCOPY,3.8,3.8,,,,,21378
rcsb::5M8D,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5M8D,X-RAY DIFFRACTION,2.25,,45.133,FULL,0.2131,0.175,18103
rcsb::5LYJ,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5LYJ,X-RAY DIFFRACTION,2.397,,60.213,FULL,0.2193,0.1939,17669
rcsb::5LOV,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5LOV,X-RAY DIFFRACTION,2.4,,64.741,FULL,0.2456,0.1983,17273
rcsb::4O4J,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4O4J,X-RAY DIFFRACTION,2.2,,38.958,FULL,0.2409,0.2037,18124
rcsb::5SB3,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5SB3,X-RAY DIFFRACTION,2.2,,45.773,FULL,0.2224,0.1921,18179
rcsb::5NG1,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5NG1,X-RAY DIFFRACTION,2.2,,46.093,FULL,0.2223,0.1762,18369
rcsb::5NQU,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5NQU,X-RAY DIFFRACTION,1.8,,28.898,FULL,0.2054,0.1792,8632
rcsb::5SB4,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5SB4,X-RAY DIFFRACTION,2.5,,53.341,FULL,0.226,0.1935,17804
rcsb::5SB5,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5SB5,X-RAY DIFFRACTION,2.31,,42.492,FULL,0.219,0.1883,18255
rcsb::5SB6,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5SB6,X-RAY DIFFRACTION,2.3,,49.873,FULL,0.231,0.1959,17910
rcsb::5SB8,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5SB8,X-RAY DIFFRACTION,2.3,,50.046,FULL,0.2286,0.1917,18053
rcsb::5SB7,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5SB7,X-RAY DIFFRACTION,2.1,,41.943,FULL,0.2347,0.2032,18445
rcsb::5SBA,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5SBA,X-RAY DIFFRACTION,2.25,,46.712,FULL,0.2266,0.1837,18426
rcsb::5SB9,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5SB9,X-RAY DIFFRACTION,2.5,,52.27,,0.2282,0.1959,17725
rcsb::5SBB,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5SBB,X-RAY DIFFRACTION,2.25,,44.396,,0.2068,,18500
rcsb::5SBC,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5SBC,X-RAY DIFFRACTION,2.32,,51.79,FULL,0.2284,0.1866,18388
rcsb::7WU7,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7WU7,ELECTRON MICROSCOPY,3.85,3.85,,,,,67031
rcsb::7X0S,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7X0S,ELECTRON MICROSCOPY,3.1,3.1,,,,,68346
rcsb::7Z7D,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7Z7D,X-RAY DIFFRACTION,2.0,,41.208,,0.2289,,18556
rcsb::5SBE,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5SBE,X-RAY DIFFRACTION,2.75,,62.943,FULL,0.2249,0.1902,17938
rcsb::6GX7,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6GX7,X-RAY DIFFRACTION,3.19,,95.223,,0.2171,,20341
rcsb::6Y6D,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6Y6D,X-RAY DIFFRACTION,2.2,,50.942,FULL,0.2263,0.1869,18029
rcsb::6FJM,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6FJM,X-RAY DIFFRACTION,2.1,,46.066,FULL,0.2145,0.1828,18537
rcsb::7JFR,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7JFR,X-RAY DIFFRACTION,2.35,,56.734,FULL,0.2615,0.2351,17953
rcsb::5SBD,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5SBD,X-RAY DIFFRACTION,2.25,,42.642,FULL,0.213,0.1791,18528
rcsb::7ZX2,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,7ZX2,X-RAY DIFFRACTION,2.5,,54.148,FULL,0.1988,0.1974,17266
rcsb::8B7A,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8B7A,X-RAY DIFFRACTION,2.25,,51.162,FULL,0.1847,0.181,18429
rcsb::8B7B,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8B7B,X-RAY DIFFRACTION,2.25,,49.695,FULL,0.224,0.1836,18314
rcsb::8B7C,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8B7C,X-RAY DIFFRACTION,1.9,,39.52,,0.1896,,18822
rcsb::8CL9,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8CL9,X-RAY DIFFRACTION,2.5,,29.187,FULL,0.2407,0.186,8117
rcsb::8BDE,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8BDE,X-RAY DIFFRACTION,1.902,,41.706,FULL,0.1986,0.1959,18429
rcsb::8CLC,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8CLC,X-RAY DIFFRACTION,2.7,,66.649,FULL,0.2275,0.1884,17569
rcsb::8BDF,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8BDF,X-RAY DIFFRACTION,1.95,,43.096,FULL,0.2199,0.192,18392
rcsb::6V5V,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6V5V,ELECTRON MICROSCOPY,3.8,3.8,,,,,2979
rcsb::1H7C,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,1H7C,X-RAY DIFFRACTION,1.8,,,,0.2617,0.2101,1008
rcsb::8BDG,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8BDG,X-RAY DIFFRACTION,2.35,,56.885,,0.189,,17628
rcsb::4EB6,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4EB6,X-RAY DIFFRACTION,3.47,,119.162,FULL,0.2809,0.2319,14918
rcsb::6KPP,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6KPP,X-RAY DIFFRACTION,2.74524106157,,45.351,FULL,0.2329,0.1946,17583
rcsb::6JZC,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,6JZC,X-RAY DIFFRACTION,2.201,,36.826,FULL,0.2152,0.1832,5020
rcsb::4O4I,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4O4I,X-RAY DIFFRACTION,2.4,,46.228,FULL,0.2165,0.1903,18304
